#{"t_start": 1780861332.801356, "env_id": "None"}
r,l,t,target
86.293847,21,2430.350055,clay
43.206747,46,2434.575902,clay
86.92,18,2437.620812,clay
87.522434,22,2441.136264,clay
68.630068,30,2444.995896,clay
83.35,13,2447.932289,clay
80.181513,25,2451.295647,clay
82.372833,25,2454.803568,clay
57.477655,28,2458.464738,clay
102.236625,12,2461.527276,clay
77.071502,26,2464.939697,clay
83.759141,21,2468.275035,clay
94.706292,13,2471.025934,clay
85.180492,10,2473.823319,clay
61.5879,41,2478.267466,clay
64.142524,51,2482.679917,clay
84.490976,24,2487.440304,clay
93.66,14,2490.203521,clay
54.020726,30,2493.841915,clay
43.83,25,2496.9498,clay
38.26803,63,2502.374052,clay
73.212674,33,2506.096631,clay
102.62,11,2509.010905,clay
73.20717,25,2512.710943,clay
81.060492,12,2515.43569,clay
79.463932,10,2518.499605,clay
64.798601,39,2522.383354,clay
61.007725,59,2527.955212,clay
105.49,11,2531.019807,clay
62.650763,38,2535.051219,clay
54.594983,51,2540.32636,clay
87.760472,12,2543.308043,clay
74.674153,32,2546.865458,clay
89.08,12,2549.585856,clay
74.248174,49,2554.04797,clay
63.845722,30,2558.20541,clay
70.938777,60,2564.211189,clay
77.131506,29,2568.026762,clay
73.369428,31,2571.92044,clay
93.985141,20,2574.992005,clay
55.925112,25,2578.45629,clay
67.354924,31,2582.50811,clay
105.32,6,2585.134637,clay
104.84,6,2588.042159,clay
93.041506,15,2590.9819,clay
73.690305,27,2596.125522,clay
88.46068,18,2599.435321,clay
72.049263,18,2602.649524,clay
68.53617,36,2606.608497,clay
73.425336,38,2610.759235,clay
73.690864,15,2614.176123,clay
85.878061,17,2617.417942,clay
60.636452,30,2620.919619,clay
71.568374,36,2625.16569,clay
87.836625,19,2628.6021,clay
71.441219,32,2632.449159,clay
73.04863,19,2635.630974,clay
71.006292,28,2640.775152,clay
78.11,19,2643.929402,clay
72.5583,46,2648.297438,clay
72.522393,69,2653.881279,clay
73.264482,29,2658.936074,clay
66.49,31,2662.715415,clay
88.121097,8,2665.406151,clay
70.937185,16,2668.464786,clay
59.010562,33,2672.386347,clay
76.890496,30,2677.223737,clay
72.081394,29,2680.688831,clay
88.001097,20,2684.284404,clay
102.094214,10,2686.939573,clay
89.224214,17,2689.868293,clay
95.89,11,2692.685127,clay
78.327982,27,2696.417515,clay
79.656357,28,2700.128951,clay
49.51,34,2704.940764,clay
62.781499,29,2710.075136,clay
72.464926,15,2713.836936,clay
35.430935,58,2718.846209,clay
69.83804,17,2722.107629,clay
61.499773,27,2725.888336,clay
77.402331,24,2729.628185,clay
71.697051,20,2733.282409,clay
76.363394,18,2736.189438,clay
83.983847,17,2739.07027,clay
81.21,14,2742.091594,clay
74.654113,44,2746.276647,clay
69.167288,17,2749.249124,clay
76.243835,16,2752.164193,clay
73.486501,15,2755.520968,clay
36.741136,29,2759.512011,clay
91.538579,19,2763.01498,clay
62.870422,34,2767.340137,clay
56.531405,35,2771.149179,clay
72.836452,17,2774.335021,clay
89.456292,16,2777.257347,clay
82.27,11,2780.082874,clay
98.702199,16,2782.885936,clay
72.120548,17,2785.911052,clay
87.767288,15,2788.822809,clay
82.25,17,2791.824832,clay
94.146452,14,2794.709016,clay
75.034826,34,2798.412516,clay
71.864369,29,2801.994216,clay
58.132756,73,2807.401452,clay
95.201569,15,2810.458709,clay
81.22,23,2814.012602,clay
64.560078,23,2817.231673,clay
73.93,17,2820.31056,clay
72.39087,34,2824.644011,clay
90.22,18,2829.252986,clay
80.38,22,2832.666573,clay
86.561914,20,2835.954975,clay
28.860039,40,2841.014292,clay
68.553224,38,2846.172212,clay
79.474685,15,2849.057427,clay
80.315256,26,2852.331018,clay
48.495337,38,2856.272025,clay
89.39,16,2859.394742,clay
93.178146,18,2862.800751,clay
80.845702,25,2866.514011,clay
82.438957,14,2869.652769,clay
46.670726,30,2874.27931,clay
73.033913,33,2877.935329,clay
65.368676,41,2882.540001,clay
75.559973,16,2885.515692,clay
79.050492,13,2888.638177,clay
90.124214,17,2891.623683,clay
84.03,22,2895.016763,clay
70.028217,45,2899.99984,clay
58.384818,30,2903.628261,clay
71.380472,25,2907.245039,clay
92.083552,19,2910.417481,clay
46.603166,27,2915.684432,clay
85.091405,24,2919.198644,clay
106.77,8,2921.824055,clay
66.832101,38,2926.004537,clay
86.764214,11,2928.950813,clay
76.271444,22,2932.451322,clay
65.83484,59,2937.396901,clay
76.359243,15,2940.660596,clay
87.37,18,2943.779593,clay
76.43,12,2946.921393,clay
86.21,9,2949.931505,clay
79.827671,27,2953.320435,clay
88.619261,18,2956.393919,clay
57.463525,37,2961.080507,clay
92.920905,15,2964.408157,clay
97.467336,13,2967.326006,clay
78.96,24,2970.894035,clay
79.53785,24,2974.097178,clay
76.138445,52,2978.795326,clay
75.55,15,2981.995679,clay
92.1,18,2985.023386,clay
