#{"t_start": 1780717463.1922045, "env_id": "None"}
r,l,t,target
-38.154895,100,4464.968128,diamond_ore
40.00915,86,4472.047549,diamond_ore
67.307928,34,4477.981063,diamond_ore
27.238698,86,4485.721556,diamond_ore
84.858206,20,4489.964913,diamond_ore
78.230608,20,4493.668049,diamond_ore
-29.735223,100,4503.150422,
104.134214,11,4507.861453,log
81.444926,12,4511.424361,log
3.744711,76,4519.335867,clay
68.092146,37,4524.056238,clay
66.385177,56,4530.028716,clay
-46.306983,100,4539.514703,log
-25.861432,100,4549.511568,log
-8.180325,100,4557.374206,log
66.696436,25,4561.312174,clay
56.420065,54,4567.55208,clay
-46.58445,100,4575.618113,clay
93.061914,10,4578.693451,log
87.411069,10,4583.307297,log
66.792515,27,4587.480243,log
63.585406,32,4591.832292,log
55.684914,29,4595.547142,log
53.39216,53,4601.485771,log
17.322166,76,4607.696744,log
40.173631,96,4616.783565,log
-28.692713,100,4625.476795,log
-34.95829,100,4635.005164,diamond_ore
68.72416,30,4639.234907,diamond_ore
60.867611,41,4644.175721,diamond_ore
64.313553,47,4649.589455,diamond_ore
69.810039,20,4654.212981,diamond_ore
81.633505,13,4657.2368,diamond_ore
44.346762,37,4662.139834,clay
41.541838,63,4668.445183,clay
-16.051931,100,4677.097449,clay
51.63434,41,4682.370635,clay
43.992146,73,4689.701784,clay
-63.903264,100,4699.886367,clay
-21.33141,100,4707.975199,diamond_ore
-25.176845,100,4715.983709,diamond_ore
64.442841,33,4720.655385,diamond_ore
59.724837,66,4727.53074,clay
-31.735051,100,4735.96064,clay
52.291765,44,4742.082542,clay
78.691484,22,4745.7,diamond_ore
63.542624,45,4750.360857,diamond_ore
-14.131829,100,4759.697086,diamond_ore
51.587261,40,4764.378202,log
71.095882,40,4769.755736,log
85.371097,10,4773.148593,log
49.712118,74,4780.118836,log
78.012006,17,4783.939311,log
-34.102436,100,4792.06863,log
64.846252,39,4796.980862,diamond_ore
-52.941111,100,4805.087506,diamond_ore
27.714747,79,4812.208946,diamond_ore
-61.847846,100,4821.07827,clay
93.36,5,4823.684444,clay
26.928938,48,4829.055337,clay
103.250492,10,4832.083339,clay
51.84691,82,4840.60332,clay
-17.904091,100,4849.371158,clay
65.547898,27,4852.91541,diamond_ore
51.893508,61,4860.059189,diamond_ore
27.695954,91,4867.798508,diamond_ore
62.348694,30,4872.035263,log
-33.256734,100,4879.840922,log
72.136857,70,4887.132434,log
93.671776,18,4891.508331,clay
64.286244,27,4896.15069,clay
95.194704,15,4899.538291,clay
92.399296,15,4903.89666,clay
30.543635,80,4911.155214,clay
83.310927,22,4916.251704,clay
-18.727107,100,4924.731691,clay
109.09018,9,4928.044741,clay
87.43,7,4931.233395,clay
27.763006,77,4939.293435,log
106.231097,9,4942.386087,log
84.415966,7,4946.981064,log
64.115351,42,4952.362679,diamond_ore
-61.2178,100,4961.498054,diamond_ore
73.018327,37,4966.790885,diamond_ore
35.928833,49,4972.991051,diamond_ore
53.273909,59,4979.050183,diamond_ore
66.99327,29,4984.234905,diamond_ore
-35.959897,100,4994.475014,log
-6.688532,100,5003.151251,log
61.866884,70,5009.996027,log
-0.094365,100,5018.524994,log
